visitorid,event_rows,known_category_event_rows,unknown_category_event_rows,category_coverage,category_coverage_flag,zero_view_denominator,zero_known_category_denominator,view_event_rows,snapshot_id
9099,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
9145,23,23,0,1.0,1,0,0,11,snapshot_20150919T025947Z
9155,3,3,0,1.0,1,1,0,0,snapshot_20150919T025947Z
9235,2,2,0,1.0,1,0,0,1,snapshot_20150919T025947Z
9498,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
9519,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
10023,11,11,0,1.0,1,0,0,7,snapshot_20150919T025947Z
10248,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
10443,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
10539,9,9,0,1.0,1,0,0,7,snapshot_20150919T025947Z
10560,4,0,4,0.0,0,0,1,3,snapshot_20150919T025947Z
10685,3,0,3,0.0,0,0,1,1,snapshot_20150919T025947Z
11172,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
11209,22,14,8,0.6363636363636364,1,0,0,13,snapshot_20150919T025947Z
11248,13,5,8,0.38461538461538464,1,0,0,6,snapshot_20150919T025947Z
11287,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
11333,52,48,4,0.9230769230769231,1,0,0,47,snapshot_20150919T025947Z
11438,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
11462,20,20,0,1.0,1,0,0,18,snapshot_20150919T025947Z
11508,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
12046,13,2,11,0.15384615384615385,1,0,0,2,snapshot_20150919T025947Z
12067,5,5,0,1.0,1,0,0,4,snapshot_20150919T025947Z
12134,2,2,0,1.0,1,1,0,0,snapshot_20150919T025947Z
12148,31,25,6,0.8064516129032258,1,0,0,25,snapshot_20150919T025947Z
12295,5,0,5,0.0,0,0,1,3,snapshot_20150919T025947Z
12356,62,54,8,0.8709677419354839,1,0,0,60,snapshot_20150919T025947Z
12506,7,7,0,1.0,1,0,0,3,snapshot_20150919T025947Z
12579,165,124,41,0.7515151515151515,1,0,0,140,snapshot_20150919T025947Z
13151,10,10,0,1.0,1,0,0,4,snapshot_20150919T025947Z
13240,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
13455,19,13,6,0.6842105263157895,1,0,0,13,snapshot_20150919T025947Z
13764,5,5,0,1.0,1,0,0,3,snapshot_20150919T025947Z
13833,17,17,0,1.0,1,0,0,11,snapshot_20150919T025947Z
14618,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
14796,5,5,0,1.0,1,0,0,2,snapshot_20150919T025947Z
14885,6,5,1,0.8333333333333334,1,0,0,4,snapshot_20150919T025947Z
14903,5,5,0,1.0,1,0,0,3,snapshot_20150919T025947Z
15218,2,2,0,1.0,1,0,0,1,snapshot_20150919T025947Z
15299,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
15318,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
15653,19,19,0,1.0,1,0,0,15,snapshot_20150919T025947Z
15852,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
16158,5,5,0,1.0,1,0,0,3,snapshot_20150919T025947Z
16357,5,4,1,0.8,1,0,0,3,snapshot_20150919T025947Z
16655,11,10,1,0.9090909090909091,1,0,0,7,snapshot_20150919T025947Z
16766,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
16945,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
16975,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
17028,17,3,14,0.17647058823529413,1,0,0,15,snapshot_20150919T025947Z
17067,7,0,7,0.0,0,0,1,5,snapshot_20150919T025947Z
17476,39,39,0,1.0,1,0,0,20,snapshot_20150919T025947Z
17569,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
17591,15,15,0,1.0,1,0,0,11,snapshot_20150919T025947Z
17629,11,10,1,0.9090909090909091,1,0,0,6,snapshot_20150919T025947Z
17676,274,250,24,0.9124087591240876,1,0,0,179,snapshot_20150919T025947Z
17746,4,3,1,0.75,1,0,0,2,snapshot_20150919T025947Z
17800,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
17857,12,12,0,1.0,1,0,0,10,snapshot_20150919T025947Z
17970,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
18024,16,15,1,0.9375,1,0,0,15,snapshot_20150919T025947Z
18029,3,1,2,0.3333333333333333,1,0,0,1,snapshot_20150919T025947Z
18032,3,0,3,0.0,0,0,1,1,snapshot_20150919T025947Z
18060,10,0,10,0.0,0,0,1,7,snapshot_20150919T025947Z
18195,5,0,5,0.0,0,0,1,2,snapshot_20150919T025947Z
18197,13,13,0,1.0,1,0,0,10,snapshot_20150919T025947Z
18424,27,27,0,1.0,1,0,0,21,snapshot_20150919T025947Z
18573,25,23,2,0.92,1,0,0,19,snapshot_20150919T025947Z
18688,4,3,1,0.75,1,0,0,2,snapshot_20150919T025947Z
19052,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
19206,5,5,0,1.0,1,0,0,2,snapshot_20150919T025947Z
19268,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
19500,2,2,0,1.0,1,1,0,0,snapshot_20150919T025947Z
19506,18,18,0,1.0,1,0,0,15,snapshot_20150919T025947Z
19512,2,2,0,1.0,1,0,0,1,snapshot_20150919T025947Z
19832,19,19,0,1.0,1,0,0,17,snapshot_20150919T025947Z
19967,31,16,15,0.5161290322580645,1,0,0,29,snapshot_20150919T025947Z
20099,9,0,9,0.0,0,0,1,8,snapshot_20150919T025947Z
20167,7,7,0,1.0,1,0,0,4,snapshot_20150919T025947Z
20389,5,5,0,1.0,1,0,0,3,snapshot_20150919T025947Z
20815,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
20984,8,8,0,1.0,1,0,0,6,snapshot_20150919T025947Z
21048,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
21070,7,7,0,1.0,1,0,0,5,snapshot_20150919T025947Z
21079,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
21302,5,5,0,1.0,1,0,0,3,snapshot_20150919T025947Z
21574,10,10,0,1.0,1,0,0,8,snapshot_20150919T025947Z
21610,30,29,1,0.9666666666666667,1,0,0,21,snapshot_20150919T025947Z
21712,58,41,17,0.7068965517241379,1,0,0,37,snapshot_20150919T025947Z
21976,11,2,9,0.18181818181818182,1,0,0,9,snapshot_20150919T025947Z
22079,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
22090,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
22276,10,10,0,1.0,1,0,0,8,snapshot_20150919T025947Z
22596,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
22666,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
22778,10,10,0,1.0,1,0,0,6,snapshot_20150919T025947Z
22944,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
22990,58,32,26,0.5517241379310345,1,0,0,33,snapshot_20150919T025947Z
22998,14,12,2,0.8571428571428571,1,0,0,12,snapshot_20150919T025947Z
23076,35,34,1,0.9714285714285714,1,0,0,29,snapshot_20150919T025947Z
23497,5,0,5,0.0,0,0,1,3,snapshot_20150919T025947Z
23645,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
23730,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
23964,2,0,2,0.0,0,1,1,0,snapshot_20150919T025947Z
24067,5,5,0,1.0,1,0,0,2,snapshot_20150919T025947Z
24142,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
24166,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
24409,15,15,0,1.0,1,0,0,11,snapshot_20150919T025947Z
24644,25,25,0,1.0,1,0,0,22,snapshot_20150919T025947Z
24662,3,0,3,0.0,0,0,1,1,snapshot_20150919T025947Z
24688,9,9,0,1.0,1,0,0,7,snapshot_20150919T025947Z
24722,22,19,3,0.8636363636363636,1,0,0,16,snapshot_20150919T025947Z
24840,28,28,0,1.0,1,0,0,18,snapshot_20150919T025947Z
25040,3,0,3,0.0,0,0,1,1,snapshot_20150919T025947Z
25081,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
25094,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
25156,26,19,7,0.7307692307692307,1,0,0,21,snapshot_20150919T025947Z
25481,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
25809,8,8,0,1.0,1,0,0,5,snapshot_20150919T025947Z
25896,7,7,0,1.0,1,0,0,3,snapshot_20150919T025947Z
25922,50,14,36,0.28,1,0,0,45,snapshot_20150919T025947Z
26032,4,0,4,0.0,0,0,1,2,snapshot_20150919T025947Z
26189,13,13,0,1.0,1,0,0,11,snapshot_20150919T025947Z
26533,11,7,4,0.6363636363636364,1,0,0,5,snapshot_20150919T025947Z
26626,12,12,0,1.0,1,0,0,8,snapshot_20150919T025947Z
26761,8,8,0,1.0,1,0,0,6,snapshot_20150919T025947Z
26872,5,5,0,1.0,1,0,0,3,snapshot_20150919T025947Z
26923,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
27197,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
27326,29,29,0,1.0,1,0,0,27,snapshot_20150919T025947Z
27360,22,22,0,1.0,1,0,0,20,snapshot_20150919T025947Z
27695,27,27,0,1.0,1,0,0,21,snapshot_20150919T025947Z
27851,16,15,1,0.9375,1,0,0,8,snapshot_20150919T025947Z
28085,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
28161,7,2,5,0.2857142857142857,1,0,0,5,snapshot_20150919T025947Z
28308,5,5,0,1.0,1,0,0,3,snapshot_20150919T025947Z
28387,23,23,0,1.0,1,0,0,21,snapshot_20150919T025947Z
28524,3,0,3,0.0,0,0,1,1,snapshot_20150919T025947Z
28791,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
28797,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
28896,5,4,1,0.8,1,0,0,3,snapshot_20150919T025947Z
29529,8,8,0,1.0,1,0,0,6,snapshot_20150919T025947Z
29531,5,0,5,0.0,0,0,1,3,snapshot_20150919T025947Z
29659,7,1,6,0.14285714285714285,1,0,0,6,snapshot_20150919T025947Z
29744,15,15,0,1.0,1,0,0,8,snapshot_20150919T025947Z
29757,24,24,0,1.0,1,0,0,18,snapshot_20150919T025947Z
29802,44,44,0,1.0,1,0,0,38,snapshot_20150919T025947Z
29835,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
30374,6,6,0,1.0,1,0,0,3,snapshot_20150919T025947Z
30438,5,5,0,1.0,1,0,0,3,snapshot_20150919T025947Z
30633,11,11,0,1.0,1,0,0,9,snapshot_20150919T025947Z
30687,3,3,0,1.0,1,0,0,2,snapshot_20150919T025947Z
30812,2,2,0,1.0,1,0,0,1,snapshot_20150919T025947Z
30824,11,0,11,0.0,0,0,1,10,snapshot_20150919T025947Z
31149,5,5,0,1.0,1,0,0,3,snapshot_20150919T025947Z
31236,5,5,0,1.0,1,0,0,3,snapshot_20150919T025947Z
31314,20,19,1,0.95,1,0,0,18,snapshot_20150919T025947Z
31359,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
31557,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
31613,17,14,3,0.8235294117647058,1,0,0,15,snapshot_20150919T025947Z
31645,53,53,0,1.0,1,0,0,40,snapshot_20150919T025947Z
31677,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
31741,4,4,0,1.0,1,1,0,0,snapshot_20150919T025947Z
31798,8,8,0,1.0,1,0,0,4,snapshot_20150919T025947Z
31843,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
31874,6,6,0,1.0,1,0,0,5,snapshot_20150919T025947Z
31929,7,7,0,1.0,1,0,0,4,snapshot_20150919T025947Z
31936,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
32119,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
32160,9,0,9,0.0,0,0,1,5,snapshot_20150919T025947Z
32358,19,19,0,1.0,1,0,0,15,snapshot_20150919T025947Z
32378,22,6,16,0.2727272727272727,1,0,0,18,snapshot_20150919T025947Z
32432,19,16,3,0.8421052631578947,1,0,0,18,snapshot_20150919T025947Z
32596,10,10,0,1.0,1,0,0,8,snapshot_20150919T025947Z
32787,6,0,6,0.0,0,0,1,2,snapshot_20150919T025947Z
32895,12,12,0,1.0,1,0,0,8,snapshot_20150919T025947Z
32904,14,12,2,0.8571428571428571,1,0,0,12,snapshot_20150919T025947Z
33196,13,10,3,0.7692307692307693,1,0,0,7,snapshot_20150919T025947Z
33308,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
33350,9,9,0,1.0,1,0,0,7,snapshot_20150919T025947Z
33571,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
33608,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
33717,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
33889,18,18,0,1.0,1,0,0,15,snapshot_20150919T025947Z
33895,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
33946,10,10,0,1.0,1,0,0,6,snapshot_20150919T025947Z
34059,12,12,0,1.0,1,0,0,10,snapshot_20150919T025947Z
34157,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
34200,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
34381,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
34519,10,10,0,1.0,1,0,0,6,snapshot_20150919T025947Z
34570,32,32,0,1.0,1,0,0,30,snapshot_20150919T025947Z
34598,10,7,3,0.7,1,0,0,6,snapshot_20150919T025947Z
34630,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
34648,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
34665,31,24,7,0.7741935483870968,1,0,0,28,snapshot_20150919T025947Z
34667,7,7,0,1.0,1,0,0,4,snapshot_20150919T025947Z
34705,6,0,6,0.0,0,0,1,4,snapshot_20150919T025947Z
34825,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
34850,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
34923,5,5,0,1.0,1,0,0,3,snapshot_20150919T025947Z
34951,13,0,13,0.0,0,0,1,5,snapshot_20150919T025947Z
34955,8,7,1,0.875,1,0,0,6,snapshot_20150919T025947Z
35112,5,5,0,1.0,1,0,0,3,snapshot_20150919T025947Z
35157,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
35186,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
35339,56,25,31,0.44642857142857145,1,0,0,51,snapshot_20150919T025947Z
35623,13,13,0,1.0,1,0,0,5,snapshot_20150919T025947Z
36007,8,4,4,0.5,1,0,0,6,snapshot_20150919T025947Z
36250,9,9,0,1.0,1,0,0,7,snapshot_20150919T025947Z
36310,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
36450,10,0,10,0.0,0,0,1,8,snapshot_20150919T025947Z
36502,17,17,0,1.0,1,0,0,11,snapshot_20150919T025947Z
36640,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
36682,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
36707,8,8,0,1.0,1,0,0,4,snapshot_20150919T025947Z
36866,12,6,6,0.5,1,0,0,8,snapshot_20150919T025947Z
36989,4,0,4,0.0,0,0,1,2,snapshot_20150919T025947Z
37093,29,20,9,0.6896551724137931,1,0,0,25,snapshot_20150919T025947Z
37183,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
37191,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
37288,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
37382,11,4,7,0.36363636363636365,1,0,0,9,snapshot_20150919T025947Z
37574,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
37845,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
37972,5,5,0,1.0,1,0,0,2,snapshot_20150919T025947Z
38015,861,596,265,0.6922183507549361,1,0,0,852,snapshot_20150919T025947Z
38102,10,9,1,0.9,1,0,0,7,snapshot_20150919T025947Z
38103,25,25,0,1.0,1,0,0,10,snapshot_20150919T025947Z
38245,2,2,0,1.0,1,0,0,1,snapshot_20150919T025947Z
38711,8,8,0,1.0,1,0,0,3,snapshot_20150919T025947Z
38878,4,1,3,0.25,1,0,0,2,snapshot_20150919T025947Z
39203,14,14,0,1.0,1,0,0,12,snapshot_20150919T025947Z
39272,5,5,0,1.0,1,0,0,3,snapshot_20150919T025947Z
39467,2,2,0,1.0,1,1,0,0,snapshot_20150919T025947Z
39480,19,19,0,1.0,1,0,0,11,snapshot_20150919T025947Z
39706,6,1,5,0.16666666666666666,1,0,0,4,snapshot_20150919T025947Z
39985,4,4,0,1.0,1,0,0,1,snapshot_20150919T025947Z
40024,3,3,0,1.0,1,1,0,0,snapshot_20150919T025947Z
40050,17,15,2,0.8823529411764706,1,0,0,15,snapshot_20150919T025947Z
40175,11,9,2,0.8181818181818182,1,0,0,9,snapshot_20150919T025947Z
40251,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
40353,12,10,2,0.8333333333333334,1,0,0,10,snapshot_20150919T025947Z
40618,3,2,1,0.6666666666666666,1,0,0,2,snapshot_20150919T025947Z
40802,16,9,7,0.5625,1,0,0,13,snapshot_20150919T025947Z
40879,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
41016,17,11,6,0.6470588235294118,1,0,0,16,snapshot_20150919T025947Z
41098,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
41278,8,5,3,0.625,1,0,0,6,snapshot_20150919T025947Z
41386,4,0,4,0.0,0,0,1,2,snapshot_20150919T025947Z
41416,1,1,0,1.0,1,1,0,0,snapshot_20150919T025947Z
41529,7,0,7,0.0,0,0,1,4,snapshot_20150919T025947Z
41903,8,8,0,1.0,1,0,0,6,snapshot_20150919T025947Z
42011,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
42040,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
42059,4,0,4,0.0,0,0,1,2,snapshot_20150919T025947Z
42168,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
42192,3,0,3,0.0,0,0,1,1,snapshot_20150919T025947Z
42261,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
42326,5,5,0,1.0,1,0,0,3,snapshot_20150919T025947Z
42435,16,0,16,0.0,0,0,1,13,snapshot_20150919T025947Z
42552,158,130,28,0.8227848101265823,1,0,0,129,snapshot_20150919T025947Z
42669,2,2,0,1.0,1,0,0,1,snapshot_20150919T025947Z
42857,4,4,0,1.0,1,0,0,3,snapshot_20150919T025947Z
42942,42,42,0,1.0,1,0,0,40,snapshot_20150919T025947Z
43176,18,13,5,0.7222222222222222,1,0,0,14,snapshot_20150919T025947Z
43354,26,16,10,0.6153846153846154,1,0,0,24,snapshot_20150919T025947Z
43393,7,2,5,0.2857142857142857,1,0,0,4,snapshot_20150919T025947Z
43605,4,1,3,0.25,1,0,0,2,snapshot_20150919T025947Z
43643,10,10,0,1.0,1,0,0,8,snapshot_20150919T025947Z
43687,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
43770,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
43775,7,7,0,1.0,1,0,0,3,snapshot_20150919T025947Z
43804,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
44326,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
44566,3,3,0,1.0,1,0,0,2,snapshot_20150919T025947Z
44880,13,13,0,1.0,1,0,0,9,snapshot_20150919T025947Z
44885,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
45018,101,101,0,1.0,1,0,0,96,snapshot_20150919T025947Z
45113,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
45183,10,7,3,0.7,1,0,0,8,snapshot_20150919T025947Z
45270,13,13,0,1.0,1,0,0,11,snapshot_20150919T025947Z
45512,5,1,4,0.2,1,0,0,3,snapshot_20150919T025947Z
45825,11,11,0,1.0,1,0,0,7,snapshot_20150919T025947Z
45870,8,8,0,1.0,1,0,0,4,snapshot_20150919T025947Z
45969,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
46167,7,0,7,0.0,0,0,1,4,snapshot_20150919T025947Z
46535,109,87,22,0.7981651376146789,1,0,0,94,snapshot_20150919T025947Z
46568,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
46748,8,8,0,1.0,1,0,0,7,snapshot_20150919T025947Z
46805,16,14,2,0.875,1,0,0,12,snapshot_20150919T025947Z
46841,7,7,0,1.0,1,0,0,5,snapshot_20150919T025947Z
47004,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
47029,4,0,4,0.0,0,0,1,1,snapshot_20150919T025947Z
47153,3,3,0,1.0,1,0,0,2,snapshot_20150919T025947Z
47197,10,10,0,1.0,1,0,0,8,snapshot_20150919T025947Z
47433,7,7,0,1.0,1,0,0,4,snapshot_20150919T025947Z
47467,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
47582,5,5,0,1.0,1,0,0,3,snapshot_20150919T025947Z
47803,38,31,7,0.8157894736842105,1,0,0,28,snapshot_20150919T025947Z
48168,10,10,0,1.0,1,0,0,9,snapshot_20150919T025947Z
48245,7,7,0,1.0,1,0,0,5,snapshot_20150919T025947Z
48703,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
48728,5,5,0,1.0,1,0,0,1,snapshot_20150919T025947Z
48768,3,3,0,1.0,1,0,0,2,snapshot_20150919T025947Z
48820,181,170,11,0.9392265193370166,1,0,0,88,snapshot_20150919T025947Z
